"Name","Link","Price_AMD","Price_USD","State","City","Address","Zipcode","Photos_Count","Ranking_Category","Rank_in_Category","N_Hotels_in_Category","Review_Count","Average_Score","Excellent_Rating","Good_Rating","Average_Rating","Poor_Rating","Terrible_Rating","Certificate","Language_distribution","Provider","Free_WiFi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant"
"Faria Boutique Hotel","https://www.tripadvisor.com//Hotel_Review-g2151208-d13109505-Reviews-Faria_Boutique_Hotel-Tsakhkadzor_Kotayk_Province.html",18333,38,"Kotayk Province","Tsakhkadzor","Charents street 3/2","2310",0,"B&Bs / Inns in Tsakhkadzor",4,26,6,4.5,4,1,1,0,0,0,"{'English': 3, 'Russian': 3}","Booking.com","1","0","1","0","0","0","0"
"Feel Inn Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d8039152-Reviews-Feel_Inn_Hostel-Yerevan.html",6658,14,"Yerevan","Yerevan","Khorrdarani str. 36","0015",40,"Specialty Lodging in Yerevan",21,300,14,5,3,1,0,0,0,0,"{'English': 12, 'Spanish': 1, 'Russian': 1}","Agoda.com","1","0","1","0","0","0","0"
"Fenix Complex","https://www.tripadvisor.com//Hotel_Review-g2711245-d11705571-Reviews-Fenix_Complex-Kapan_Syunik_Province.html",15000,31,"Syunik Province","Kapan","1st Aram Manukyan St., 8",NA,8,NA,0,0,3,4.5,1,0,0,0,0,0,"{'English': 1, 'Russian': 2}","Booking.com","1","0","1","0","0","0","0"
"Fever Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15278439-Reviews-Fever_Hostel-Yerevan.html",NA,NA,"Yerevan","Yerevan","11/3 Argishti, 170","0001",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Agoda.com","0","0","0","0","0","0","0"
"FindArmenia Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d10127306-Reviews-FindArmenia_Hostel-Yerevan.html",6658,14,"Yerevan","Yerevan","Bayrona str. 10","0009",56,"Specialty Lodging in Yerevan",9,300,30,5,6,3,1,0,0,0,"{'Russian': 26, 'English': 3, 'French': 1}","Booking.com","1","0","1","0","0","0","0"
"FlatsInYerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d7179599-Reviews-FlatsInYerevan-Yerevan.html",21467,44,"Yerevan","Yerevan","Vardanantsa str. 5A","0010",34,"Specialty Lodging in Yerevan",46,300,12,4.5,9,1,1,0,1,0,"{'Russian': 6, 'English': 5, 'German': 1}","Booking.com","1","0","0","0","0","0","0"
"Flora","https://www.tripadvisor.com//Hotel_Review-g1055321-d6163021-Reviews-Flora-Sisian_Syunik_Province.html",10817,22,"Syunik Province","Sisian","Gayi St., 1",NA,0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Agoda.com","0","0","0","0","0","0","0"
"Fortune","https://www.tripadvisor.com//Hotel_Review-g293932-d10817039-Reviews-Fortune-Yerevan.html",6742,14,"Yerevan","Yerevan","Tairov Building 5","0082",0,"Specialty Lodging in Yerevan",129,300,1,3,0,0,1,0,0,0,"{'English': 0, 'Russian': 1}","Booking.com","1","0","1","0","0","0","0"
"Forum Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d6206559-Reviews-Forum_Hotel-Yerevan.html",30000,62,"Yerevan","Yerevan","Paronyana str. 19/3","0015",93,"Hotels in Yerevan",53,83,46,4,6,7,8,2,2,0,"{'Russian': 20, 'English': 18, 'French': 2}","Booking.com","1","0","1","0","0","0","0"
"Freedom Apartments On Arami street","https://www.tripadvisor.com//Hotel_Review-g293932-d15885751-Reviews-Freedom_Apartments_On_Arami_street-Yerevan.html",36000,74,"Yerevan","Yerevan","Arami str. 70","0002",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Friendship Hostel & Tours 2","https://www.tripadvisor.com//Hotel_Review-g293932-d13329847-Reviews-Friendship_Hostel_Tours_2-Yerevan.html",20000,41,"Yerevan","Yerevan","Manukyan Alyek str. 17","0070",0,"Specialty Lodging in Yerevan",104,300,1,5,1,0,0,0,0,0,"{'English': 1}","Booking.com","0","0","0","0","0","0","0"
"Friendship Hostel & Tours","https://www.tripadvisor.com//Hotel_Review-g293932-d12214565-Reviews-Friendship_Hostel_Tours-Yerevan.html",10000,21,"Yerevan","Yerevan","Yeznik Kokhbatsi Street 1","0015",63,"Specialty Lodging in Yerevan",41,300,23,4.5,6,4,0,1,2,0,"{'English': 15, 'Russian': 4, 'Italian': 2}","Booking.com","1","0","1","0","0","0","0"
"Full House Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d12880527-Reviews-Full_House_Hostel-Yerevan.html",NA,NA,"Yerevan","Yerevan","Paronyana str. 28","0015",7,NA,0,0,0,0,0,0,0,0,0,0,"[]","TripAdvisor","1","0","1","0","0","0","0"
"Gagari Mot Hotel and Restaurant","https://www.tripadvisor.com//Hotel_Review-g666442-d15416117-Reviews-Gagari_Mot_Hotel_and_Restaurant-Sevan_Lake_Sevan_Gegharkunik_Province.html",22500,46,"Gegharkunik Province","Lake Sevan","Dilijan Highway 5 Km","1503",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Gagari Mot","https://www.tripadvisor.com//Hotel_Review-g666442-d15511147-Reviews-Gagari_Mot-Sevan_Lake_Sevan_Gegharkunik_Province.html",40833,84,"Gegharkunik Province","Lake Sevan","M4, Gegarkunik, 7th km","1512",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Garden House Baghramyan","https://www.tripadvisor.com//Hotel_Review-g293932-d12520269-Reviews-Garden_House_Baghramyan-Yerevan.html",NA,NA,"Yerevan","Yerevan","Avet Avetisyan 15A","0033",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","TripAdvisor","1","0","1","0","0","0","0"
"Garni Hinyard","https://www.tripadvisor.com//Hotel_Review-g293932-d15232085-Reviews-Garni_Hinyard-Yerevan.html",25833,53,"Yerevan","Yerevan","Azatamartikner St. 1/7","2215",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Garun Hotel","https://www.tripadvisor.com//Hotel_Review-g815353-d11969135-Reviews-Garun_Hotel-Gyumri_Shirak_Province.html",35250,73,"Shirak Province","Gyumri","Highway 1 Marmashen","9797",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","0","0","0","0","1"
"Gayane Guest House","https://www.tripadvisor.com//Hotel_Review-g1160895-d12673616-Reviews-Gayane_Guest_House-Dilijan_Tavush_Province.html",9986,21,"Tavush Province","Dilijan","Ordzhonokidzie st 19","3901",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Agoda.com","0","0","0","0","0","0","0"
"Gegama Villa Holiday Park","https://www.tripadvisor.com//Hotel_Review-g666442-d7988885-Reviews-Gegama_Villa_Holiday_Park-Sevan_Lake_Sevan_Gegharkunik_Province.html",9500,20,"Gegharkunik Province","Lake Sevan","South-West Pribrezhnaya Square","1501",0,"Specialty Lodging in Sevan",4,19,2,4,1,0,1,0,0,0,"{'English': 0, 'German': 1, 'Russian': 1}","Booking.com","0","0","0","0","0","0","0"
"Gem Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15012154-Reviews-Gem_Hostel-Yerevan.html",NA,NA,"Yerevan","Yerevan","31 Mesrop Mashtots Avenue","0002",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Agoda.com","0","0","0","0","0","0","0"
"Georgia Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d9786922-Reviews-Georgia_Hotel-Yerevan.html",7083,15,"Yerevan","Yerevan","Ashtarak Highway, 6","2415",1,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","1","0","1","0","0","0","0"
"Getar","https://www.tripadvisor.com//Hotel_Review-g293932-d6219829-Reviews-Getar-Yerevan.html",NA,NA,"Yerevan","Yerevan","Khoryenatsi M. str. 28","0018",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","TripAdvisor","1","0","0","0","0","0","0"
"Gexama Home","https://www.tripadvisor.com//Hotel_Review-g666442-d14781050-Reviews-Gexama_Home-Sevan_Lake_Sevan_Gegharkunik_Province.html",40833,84,"Gegharkunik Province","Lake Sevan",NA,"1505",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Gladzor Resort","https://www.tripadvisor.com//Hotel_Review-g666442-d10305517-Reviews-Gladzor_Resort-Sevan_Lake_Sevan_Gegharkunik_Province.html",6658,14,"Gegharkunik Province","Lake Sevan","Lchapi 1",NA,14,"Specialty Lodging in Sevan",5,19,2,3.5,1,0,0,1,0,0,"{'English': 0, 'Russian': 2}","Booking.com","1","0","1","0","0","0","0"
"Globus hostel &Tours","https://www.tripadvisor.com//Hotel_Review-g293932-d13814183-Reviews-Globus_hostel_Tours-Yerevan.html",3742,8,"Yerevan","Yerevan","Tumanyan O. str. 10","0001",0,"Specialty Lodging in Yerevan",101,300,1,5,1,0,0,0,0,0,"{'English': 1}","Booking.com","0","0","0","0","0","0","0"
