"name","Provider","Price","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","link"
"Hotel Agasi","Booking.com","AMD 12,492","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g2426280-d8672084-Reviews-Hotel_Agasi-Odzun_Alaverdi_Lori_Province.html"
"Hotel Yan - Hostel","Booking.com","AMD 31,500","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d15186099-Reviews-Hotel_Yan_Hostel-Alaverdi_Lori_Province.html"
"Nersisyan Alvard B&B","Booking.com","AMD 16,667","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g2426280-d12310018-Reviews-Nersisyan_Alvard_B_B-Odzun_Alaverdi_Lori_Province.html"
"Parvana","Expedia.com","AMD 74,900","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g2426280-d14915003-Reviews-Parvana-Odzun_Alaverdi_Lori_Province.html"
"Debed Hotel","Booking.com","AMD 14,990","18 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d3253331-Reviews-Debed_Hotel-Alaverdi_Lori_Province.html"
"Alvard Nersisyan B6B","Booking.com","AMD 10,825","2 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g2426280-d5074518-Reviews-Alvard_Nersisyan_B6B-Odzun_Alaverdi_Lori_Province.html"
"ASI Guesthouse","Booking.com","AMD 12,750","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g2426280-d12847874-Reviews-ASI_Guesthouse-Odzun_Alaverdi_Lori_Province.html"
"B&B Pegas","Booking.com","AMD 22,500","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d12712956-Reviews-B_B_Pegas-Alaverdi_Lori_Province.html"
"Guest House Rubina","Booking.com","AMD 9,524","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d12496677-Reviews-Guest_House_Rubina-Alaverdi_Lori_Province.html"
"Hizhina","Booking.com","AMD 23,240","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g815351-d11883549-Reviews-Hizhina-Alaverdi_Lori_Province.html"
"Olya Guest house","Booking.com","AMD 20,833","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g2426280-d10420399-Reviews-Olya_Guest_house-Odzun_Alaverdi_Lori_Province.html"
"Arsego Hostel","Booking.com","AMD 13,325","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d15526853-Reviews-Arsego_Hostel-Vanadzor_Lori_Province.html"
"B&B ""MAGHaY""","Booking.com","AMD 21,467","68 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d2166239-Reviews-B_B_MAGHaY-Vanadzor_Lori_Province.html"
"Tezh Ler Resort","Booking.com","AMD 17,250","51 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d3493989-Reviews-Tezh_Ler_Resort-Vanadzor_Lori_Province.html"
"Hotel Laguna","Booking.com","AMD 12,500","14 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d2388260-Reviews-Hotel_Laguna-Vanadzor_Lori_Province.html"
"Vanadzor Guest House","Booking.com","AMD 18,333","4 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d13956312-Reviews-Vanadzor_Guest_House-Vanadzor_Lori_Province.html"
"Kirovakan Hotel","Booking.com","AMD 18,325","13 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d2443158-Reviews-Kirovakan_Hotel-Vanadzor_Lori_Province.html"
"Anahit Guest House","Booking.com","AMD 18,333","3 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d7385605-Reviews-Anahit_Guest_House-Vanadzor_Lori_Province.html"
"Vanadzor Armenia Health Resort & Hotel","Booking.com","AMD 20,000","4 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d2443142-Reviews-Vanadzor_Armenia_Health_Resort_Hotel-Vanadzor_Lori_Province.html"
"Lori Travel Guest House","Booking.com","AMD 40,833","1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d12979481-Reviews-Lori_Travel_Guest_House-Vanadzor_Lori_Province.html"
"Lena's B&B","Booking.com","AMD 12,954","4 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d2039554-Reviews-Lena_s_B_B-Vanadzor_Lori_Province.html"
"Hacukac Vanadzor B&B","Booking.com","AMD 19,000","1 review","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d12600278-Reviews-Hacukac_Vanadzor_B_B-Vanadzor_Lori_Province.html"
"DownTown B&B","Booking.com","AMD 18,000","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d13416967-Reviews-DownTown_B_B-Vanadzor_Lori_Province.html"
"B&B in Vanadzor","Booking.com","AMD 9,908","0 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d13386889-Reviews-B_B_in_Vanadzor-Vanadzor_Lori_Province.html"
"Grant Ton Hotel","Expedia.com","AMD 91,544","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d8673952-Reviews-Grant_Ton_Hotel-Vanadzor_Lori_Province.html"
"Hotel Vanadzor","Booking.com","AMD 18,325","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g1438527-d15551077-Reviews-Hotel_Vanadzor-Vanadzor_Lori_Province.html"
